User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
30354991,Kamala Harris,KamalaHarris,Sat Apr 11 00:42:07 +0000 2009,2772586,720,282,11252,12402,,"U.S. Senator and candidate for president. Wife, Momala, Auntie. Fighting for the people. No corporate PACs, just people like you. Text JOIN to 70785 to join us.",California,http://t.co/IbL01p7pYJ,,,1
87510313,Tammy Baldwin,tammybaldwin,Wed Nov 04 19:20:25 +0000 2009,48706,4581,15,4716,1328,,Campaign account for Senator Tammy Baldwin. Tweets by staff. Tweets from Tammy signed — TB.,Wisconsin,https://t.co/Ub0vOuchNn,,,1
16224459,Equality California,eqca,Wed Sep 10 17:50:34 +0000 2008,32217,1624,3367,19525,890,,Equality California is the nation’s largest statewide #LGBTQ civil rights organization. Executive Director: @rick_zbur // Spox: @sgarrettpate,California,https://t.co/6k61RzrjA5,,,1
205864193,Hardball,hardball,Thu Oct 21 19:32:51 +0000 2010,436796,765,479,53986,2345,,Hardball with Chris Matthews is hosted by @HardballChris. Like us on Facebook and follow us on Instagram. Join the conversation with #Hardball.,"Washington, D.C.",https://t.co/AyDhXmdr7s,,,1
15554922,CAP Action 🏳️‍🌈,CAPAction,Wed Jul 23 03:36:34 +0000 2008,63038,6163,685,49014,2290,,Hard-hitting news + analysis paired with action on the issues that matter most. Working alongside @AmProg & @ThinkProgress.,,http://t.co/PoAJevCiwb,,,1
110396781,AJ+,ajplus,Mon Feb 01 11:53:42 +0000 2010,1030007,366,2293,70771,10281,,"AJ+ is news for the connected generation, sharing human struggles and challenging the status quo.",,http://t.co/ajmT5k7yEI,,,1
990994414603468801,Demand Justice,WeDemandJustice,Mon Apr 30 16:40:55 +0000 2018,15605,597,851,2237,159,,It all comes down to the courts.,"Washington, DC",https://t.co/AbIOnZmEtO,,,0
991721030631780354,Jahana Hayes,JahanaHayesCT,Wed May 02 16:48:13 +0000 2018,26738,164,1361,1124,326,,CT 5th Congressional District Congresswoman,"Waterbury, CT",https://t.co/M3SQ8jj5UE,,,1
815733290955112448,Rep. Pramila Jayapal,RepJayapal,Mon Jan 02 01:35:46 +0000 2017,152846,2652,9467,15282,1734,,"Congresswoman & lifelong organizer. Proudly serving WA-07. Co-Chair of @USProgressives, Member of @HouseJudiciary, @EdLaborCmte and @HouseBudgetDems.","Seattle, WA",https://t.co/bFjm8t92H0,,,1
14411304,The Sacramento Bee,sacbee_news,Wed Apr 16 18:44:06 +0000 2008,215833,199,292,243109,2983,,"Official account of The Sacramento Bee in California. News, sports, entertainment, politics.","Sacramento, CA",http://t.co/UZLsyykb0p,,,1
164764113,Michaela Cornell,mcpublic,Fri Jul 09 18:01:37 +0000 2010,697,1816,2632,9783,20,,PR Publishing Professional. Opinions expressed here are exclusively mine. Tinkers to Evers to Chance. She/her.,Toronto,https://t.co/YWT8flANpQ,,,0
